line,length,Cement,Steel,Total
1号线,27854.58347117096,512106.2385716435,3175.4225157134897,515281.93963319156
2号线,31816.086179221293,584938.4262441216,3627.0338244312275,588565.7782294147
3号线,41718.87447731557,767001.090076702,4755.9516904139755,771757.4589558607
