id,inter_length,Cement,Steel,Total
3325,294.63074216298736,5416.783248359102,33.58790460658056,5450.374099273104
3532,427.25071554329793,7855.000132756378,48.70658157193597,7903.710986835468
3533,197.2295092075695,3626.0625544860736,22.484164049662922,3648.548690830828
3740,585.6686901802229,10767.513012276499,66.76623068054542,10834.285099643945
3741,38.79246227359883,713.1990309754918,4.422340699190267,717.6217595993047
3948,558.752320156095,10272.655818546606,63.697764497794836,10336.359170567603
4155,507.1589123951947,9324.111532796533,57.816116013052195,9381.932720398707
4362,507.14343268424255,9323.826938465474,57.814351326003646,9381.646361225803
4568,345.891791683652,6359.217131186027,39.43166425193633,6398.6522543558785
4569,161.2361649164101,2964.325279626551,18.380922800470753,2982.7078147886705
4775,507.1124841435771,9323.257949854824,57.81082319236779,9381.073844172033
4982,505.9087069430017,9301.126518060017,57.67359259150219,9358.805169738589
5189,505.65120181507353,9296.392288858111,57.64423700691838,9354.041582377044
5396,505.6357838478229,9296.108829684386,57.642479358651805,9353.756365400875
5603,505.6203694912937,9295.825436893741,57.64072212200748,9353.471215219442
5810,505.604958750581,9295.542110579845,57.63896529756623,9353.186131926997
6016,176.97880530466477,3253.753565738209,20.175583804731783,3273.9309193309937
6017,362.29941031578073,6660.871035661526,41.302132775999,6702.176791431628
6125,85.33250020691501,1568.8371629791307,9.727905023588312,1578.5659213277208
6223,561.2584092264735,10318.730241044625,63.98345865181798,10382.719312280535
6331,533.3357990920722,9805.373332949757,60.80028109649623,9866.178947404243
6332,418.02058389309724,7685.304254668755,47.654346563813085,7732.962781438406
6429,254.96682803954778,4687.562583838806,29.066218396508447,4716.631351903594
6430,306.2744851266634,5630.853346308856,34.91529130443963,5665.7717003581465
6536,471.79138169282004,8673.87983450868,53.784217512981485,8727.668769935477
6537,544.5108805088041,10010.827093045558,62.07424037800367,10072.906778532368
6538,13.072653813460725,240.34060963393733,1.4902825347345225,241.83102289520997
6636,545.1827544977552,10023.179489613685,62.1508340127441,10085.335775453974
6741,484.86485487586697,8914.235508244266,55.27459345584884,8969.514950348663
6742,518.5901315227001,9534.274382143525,59.11927499358781,9593.398843038429
6743,46.79874982967179,860.3945476310176,5.335057480582584,865.7300730990985
6843,503.57618684559446,9258.243159394387,57.407685300397766,9315.655880456652
6946,161.58905166671244,2970.8130990019918,18.421151890005216,2989.2358667825133
6947,589.1070014429263,10830.726330458187,67.1581981644936,10897.890419692692
6948,64.92364149384348,1193.6204996278975,7.401295130298156,1201.0224439946105
7050,503.5608571908096,9257.961323844462,57.405937719752295,9315.372297172788
7152,304.056223590201,5590.070630143609,34.662409489282915,5624.736080195128
7153,427.517949776501,7859.9132314614735,48.73704627452111,7908.654552915492
7257,503.54553113289035,9257.679554422877,57.4041905491495,9315.088780427339
7358,175.11553527416535,3219.4973648601776,19.96317102125485,3239.462287036785
7359,456.97601932518734,8401.499545533376,52.095266203071354,8453.59938149664
7464,537.7729868257663,9886.950985061847,61.30612049813736,9948.262483289851
7564,41.786092456881924,768.2368919588496,4.763614540084539,773.0009243598587
7565,590.2862281289243,10852.406401287994,67.29263000669738,10919.704934156971
7670,291.5500283136137,5360.144355045506,33.23670322775196,5393.38397377354
7671,261.01004889368824,4798.667138809969,29.75514557388046,4828.424894484338
7771,590.3738979520832,10854.018210110073,67.30262436653749,10921.326738215588
7877,552.5432701372791,10158.502496041177,62.98993279564982,10221.497954269527
7977,255.24512783431155,4692.67912278254,29.097944573111516,4721.779619806929
7978,304.85814611835906,5604.813967804571,34.75382865749293,5639.570845043524
8083,269.4281721694317,4953.4342510532815,30.714811627315214,4984.151756962317
8084,274.06753428037126,5038.728877069283,31.243698907962322,5069.975316652588
8184,560.0862409280295,10297.179938599413,63.84983146579536,10361.035370927617
8290,526.7029879554467,9683.42916653101,60.04414062692093,9743.478574187808
8390,232.80090282659395,4280.042270457902,26.53930292223171,4306.583901389161
8391,298.81298169869615,5493.673680400712,34.06467991365136,5527.7413484441795
8497,526.6869771950367,9683.134808860978,60.04231540023417,9743.182391130984
8597,522.2686521150328,9601.903946448356,59.53862634111373,9661.447795475991
8703,327.58264556286156,6022.603662846755,37.34442159416622,6059.951360267376
8704,199.0883246262668,3660.236857370669,22.696069007394414,3682.9349172613092
8804,522.2527793906481,9601.612126569273,59.53681685053388,9661.154165947599
8910,528.3403623010225,9713.532277500677,60.23080130231657,9773.768362206616
9010,186.20674893582307,3423.4092171176185,21.22756937868383,3444.638648563791
9011,351.34363553771476,6459.449225924531,40.05317445129948,6499.505913812186
9117,528.6178710887372,9718.634273787722,60.262437304116034,9778.901997270548
9217,543.5136766229717,9992.49350957657,61.96055913501878,10054.459503848353
9323,399.58557439411317,7346.376789380027,45.5527554809289,7391.933540716699
9324,129.01624085614523,2371.962297977822,14.707851457600556,2386.6714395978306
9379,361.8726066903064,6653.024255275217,41.25347716269493,6694.281351163978
9380,30.715587613854805,564.7057711248444,3.5015769879794476,568.2076552687
9423,53.650347352324886,986.3610995690196,6.116139598165037,992.477775670658
9424,489.8468209976638,9005.82890557384,55.84253759373368,9061.676341635783
9530,528.5857631852986,9718.043970304083,60.25877700312404,9778.308033164838
9585,448.26799781315526,8241.402657114882,51.102551750699696,8292.50969154556
9586,279.50248402781534,5138.650373826546,31.86328317917095,5170.516452030556
9630,576.5326371591113,10599.546768843891,65.7247206361387,10665.2772548064
9737,528.5697148889867,9717.748922536872,60.25694749734449,9778.011155731365
9791,534.6412932221349,9829.374829476019,60.949107427323376,9890.329283316274
9792,193.1070929099118,3550.2719720778,22.014208591729947,3572.2881117404586
