gml_id,length,Cement,Steel,Gravel,Sand,Lime,Fly ash,Copper,Aluminum,Total
layer_railway_pl.18,8845.215582034847,35734.67095142078,3095.8254537121966,123390.75736938612,57759.25775068755,13488.953762603142,2290.9108357470254,114.98780256645301,106.14258698441816,235981.50651310768
layer_railway_pl.2114,8969.166431509313,36235.43238329762,3139.20825102826,125119.87171955491,58568.656797755815,13677.978808051701,2323.014105760912,116.59916360962107,107.62999717811175,239288.39122623697
layer_railway_pl.2115,27516.711818261923,111167.51574577818,9630.849136391673,383858.12986475386,179684.12817325036,41962.985522849434,7126.828360929839,357.717253637405,330.2005418191431,734118.3545994099
layer_railway_pl.2269,8097.476417773272,32713.80472780402,2834.1167462206454,112959.79602793715,52876.52100805946,12348.65153710424,2097.2463922032775,105.26719343105253,97.16971701327927,216032.57334977313
layer_railway_pl.4327,1935.5021848870756,7819.428826943786,677.4257647104765,27000.255479174702,12638.829267312603,2951.6408319527904,501.29506588575254,25.16152840353198,23.226026218644908,51637.26279060229
layer_railway_pl.4328,2090.455007641604,8445.43823087208,731.6592526745613,29161.847356600374,13650.671199899674,3187.943886653446,541.4278469791755,27.175915099340852,25.08546009169925,55771.249148870345
layer_railway_pl.4329,567.9333272861027,2294.4506422358545,198.77666455013593,7922.669915641131,3708.60462717825,866.0983241113066,147.0947317671006,7.3831332547193345,6.815199927433232,15151.893238665933
layer_railway_pl.4330,221.1730690741226,893.5391990594553,77.41057417594291,3085.3643135840102,1444.2601410540206,337.28893033803695,57.28382489019775,2.875249897963594,2.654076828889471,5900.676309828517
layer_railway_pl.4331,3595.626643146637,14526.331638312415,1258.469325101323,50158.99167189559,23479.441979747542,5483.330630798621,931.2673005749789,46.74314636090628,43.14751971775964,95927.72321250913
layer_railway_pl.4332,357.3300390043241,1443.6133575774693,125.06551365151343,4984.75404411032,2333.3651546982364,544.9283094815943,92.54848010211994,4.645290507056213,4.287960468051889,9533.208110596363
layer_railway_pl.4333,2058.214154125125,8315.185182665504,720.3749539437937,28712.087450045492,13440.138426437064,3138.7765850408155,533.0774659184073,26.756784003626624,24.6985698495015,54911.09541790421
layer_railway_pl.4334,627.4337854959177,2534.8324934035077,219.6018249235712,8752.701307668052,4097.142619288343,956.8365228812746,162.5053504434427,8.156639211446931,7.529205425951013,16739.305963245588
layer_railway_pl.4335,946.1421836441971,3822.414421922556,331.149764275469,13198.683461836548,6178.308459196606,1442.8668300574004,245.05082556384704,12.299848387374563,11.353706203730367,25242.127317443534
layer_railway_pl.4336,869.0780480003582,3511.075313921447,304.17731680012537,12123.638769604997,5675.079653442339,1325.3440232005462,225.09121443209276,11.298014624004656,10.428936576004299,23186.133242601554
layer_railway_pl.4337,770.109848341739,3111.2437873006256,269.5384469196087,10743.03238436726,5028.817309671555,1174.4175187211522,199.45845072051043,10.011428028442607,9.241318180100869,20545.760643909256
layer_railway_pl.4338,236.7766883792151,956.577821052029,82.87184093272529,3303.0348028900507,1546.1517751162746,361.08444977830305,61.32516229021672,3.0780969489297965,2.841320260550581,6316.96526926908
layer_railway_pl.4339,2042.0366669933874,8249.828134653286,714.7128334476856,28486.411504557756,13334.49943546682,3114.105917164916,528.8874967512874,26.546476670914036,24.50444000392065,54479.49623871658
layer_railway_pl.4340,348.14697439168526,1406.5137765424083,121.85144103708984,4856.650292764009,2273.399742777705,530.92413594732,90.1700663674465,4.5259106670919085,4.177763692700223,9288.213129795771
layer_railway_pl.4341,10075.6053958203,40705.44579911401,3526.4618885371046,140554.69527169317,65793.70323470655,15365.298228625958,2609.5817975174573,130.9828701456639,120.90726474984359,268807.0763550898
layer_railway_pl.4342,3021.51689850216,12206.928269948727,1057.530914475756,42150.160734105135,19730.505347219107,4607.813270215795,782.5728767120595,39.27971968052808,36.258202782025926,80611.04933513912
layer_railway_pl.4343,112.21237309904012,453.33798732012207,39.27433058466404,1565.3626047316095,732.746796336732,171.12386897603616,29.063004632651392,1.4587608502875216,1.3465484771884815,2993.713901909291
layer_railway_pl.4344,531.2826431726165,2146.381878417371,185.9489251104158,7411.392872258001,3469.275659917186,810.2060308382402,137.6022045817077,6.906674361244015,6.3753917180713975,14174.089637202236
layer_railway_pl.4345,219.7105696085764,887.6307012186487,76.89869936300174,3064.962446039641,1434.710019544004,335.058618653079,56.905037528621286,2.8562374049114934,2.636526835302917,5861.658286587211
layer_railway_pl.4346,2243.390906585496,9063.299262605404,785.1868173049236,31295.30314686767,14649.342620003288,3421.171132542881,581.0382448056434,29.164081785611447,26.92069087902595,59851.425996794445
layer_railway_pl.4347,1768.2282614256612,7143.642176159671,618.8798914989814,24666.784246887975,11546.530547109569,2696.5480986741336,457.9711197092463,22.986967398533597,21.218739137107935,47174.561786575214
layer_railway_pl.4348,1067.807432704003,4313.942028124172,373.7326014464011,14895.913686220843,6972.782535557139,1628.4063348736047,276.5621250703368,13.88149662515204,12.813689192448036,28488.0344971101
layer_railway_pl.4349,89.70241304648059,362.39774870778155,31.395844566268206,1251.3486619984042,585.7567571935182,136.79617989588291,23.232924979038472,1.1661313696042475,1.076428956557767,2393.1706776670558
layer_railway_pl.4350,3280.222665486894,13252.099568567053,1148.0779329204129,45759.10618354217,21419.85400562942,5002.339564867513,849.5776703611056,42.64289465132963,39.36267198584273,87513.06049252485
layer_railway_pl.4351,156.1216176180389,630.7313351768771,54.642566166313614,2177.8965657716426,1019.4741630457941,238.08546686750933,40.43549896307207,2.0295810290345058,1.8734594114164667,4165.168636431659
