line,length,Cement,Steel,Total
10号线,41218.4556065522,757800.8941419062,4698.9039391469505,762500.2102656092
1号线,114297.70428445868,2101362.1502927304,13029.93828842829,2114393.231558201
2号线,45879.779989537245,843499.2963098425,5230.294918807246,848730.0500264495
3号线,54631.1995269604,1004394.0569911718,6227.956746073485,1010622.5600492405
4号线,47470.80708338329,872750.313519931,5411.672007505696,878162.4602355075
5号线,54514.38987208074,1002246.5126543058,6214.640445417205,1008461.6982436216
7号线,41777.51836886218,768079.2574363474,4762.637094050288,772842.3123055814
