gml_id,length,Cement,Steel,Gravel,Sand,Lime,Fly ash,Copper,Aluminum,Total
layer_railway_pl.22,47530.94616423473,192025.0225035083,16635.831157482156,663056.6989910745,310377.0784524528,72484.69290045796,12310.515056536795,617.9023001350515,570.3713539708168,1268078.1127156185
layer_railway_pl.279,1861.338701346553,7519.808353440074,651.4685454712936,25965.674883784417,12154.541719792991,2838.5415195534933,482.08672364875724,24.19740311750519,22.33606441615864,49658.65521322469
layer_railway_pl.600,2766.307055203161,11175.880503020771,968.2074693211064,38589.9834200841,18063.98507047664,4218.618259184821,716.4735272976187,35.96199171764109,33.195684662437934,73802.30592576513
layer_railway_pl.601,465.4210118330938,1880.300887805699,162.8973541415828,6492.623115071659,3039.1992072701028,709.7670430454681,120.5440420647713,6.050473153830219,5.585052141997125,12416.96717469511
layer_railway_pl.602,3027.777676256811,12232.221812077516,1059.722186689884,42237.498583782515,19771.388225956976,4617.360956291636,784.194418150514,39.36110979133854,36.33333211508174,80778.08062485546
layer_railway_pl.603,2128.2376994607985,8598.080305821626,744.8831948112794,29688.91590747814,13897.392177479014,3245.562491677718,551.2135641603468,27.66709009299038,25.53885239352958,56779.253583914644
layer_railway_pl.604,175.12325935675446,707.497967801288,61.293140774864064,2442.969468026725,1143.5548835996067,267.06297051905057,45.356924173399406,2.276602371637808,2.101479112281053,4672.113436378852
layer_railway_pl.605,3097.273385546423,12512.984477607548,1084.045684941248,43206.963728372604,20225.195207618144,4723.341912958295,802.1938068565236,40.2645540121035,37.16728062655707,82632.15665299303
layer_railway_pl.606,2725.6570699189415,11011.654562472524,953.9799744716295,38022.91612536924,17798.54066657069,4156.627031626385,705.9451811090058,35.43354190894624,32.7078848390273,72717.80496836745
layer_railway_pl.607,5107.427404715187,20634.006715049352,1787.5995916503152,71248.61229577685,33351.500952790164,7788.82679219066,1322.8236978212335,66.39655626129743,61.28912885658224,136261.05573039645
layer_railway_pl.608,1455.7699793309748,5881.310716497138,509.51949276584116,20307.991211667097,9506.177965031266,2220.0492184797367,377.0444246467225,18.92500973130267,17.4692397519717,38838.487278571076
layer_railway_pl.609,13591.87184760343,54911.162264317856,4757.155146661201,189606.61227406785,88754.92316485039,20727.604567595234,3520.2948085292887,176.6943340188446,163.10246217124117,362617.5490222119
layer_railway_pl.610,1973.8248903356646,7974.252556956085,690.8387116174825,27534.85722018252,12889.07653389189,3010.0829577618883,511.2206465969372,25.659723574363642,23.685898684027975,52659.6742492652
layer_railway_pl.611,5825.395725081767,23534.598729330337,2038.8885037786183,81264.27036489065,38039.834084783935,8883.728480749694,1508.7774927961775,75.73014442606296,69.9047487009812,155415.73254945644
layer_railway_pl.960,5387.545792220005,21765.685000568817,1885.6410272770017,75156.26380146907,35180.67402319663,8216.007333135507,1395.3743601849812,70.03809529886006,64.65054950664006,143734.3341906375
layer_railway_pl.961,2878.691825456795,11629.914974845453,1007.5421389098782,40157.75096512229,18797.857620232873,4390.005033821612,745.58118279331,37.42299373093833,34.54430190548154,76800.61921136183
layer_railway_pl.962,2279.8090692011765,9210.428639572752,797.9331742204118,31803.336515356412,14887.153221883682,3476.7088305317943,590.4705489231047,29.637517899615293,27.35770883041412,60823.02615721819
layer_railway_pl.963,1369.539352559889,5532.938984341952,479.33877339596114,19105.07396821045,8943.091972216076,2088.547512653831,354.7106923130113,17.804011583278555,16.43447223071867,36537.94038694528
layer_railway_pl.964,1497.464740932794,6049.7575533684885,524.1126593264779,20889.633136012475,9778.444758291145,2283.6337299225106,387.8433679015937,19.46704163212632,17.96957689119353,39950.861823346015
layer_railway_pl.965,1021.2048558885988,4125.667617789939,357.4216995610096,14245.807739645952,6668.467708952549,1557.337405230113,264.49205767514707,13.275663126551784,12.254458270663184,27244.724350251927
layer_railway_pl.966,497.24471339266256,2008.868642106357,174.03564968743189,6936.563751827643,3247.0079784540862,758.2981879238105,128.7863807686996,6.464181274104614,5.966936560711951,13265.991708602844
layer_railway_pl.967,700.5116691430909,2830.067143338087,245.17908420008183,9772.137784546117,4574.341199504383,1068.2802954432136,181.43252230806056,9.106651698860182,8.406140029717092,18688.95082106852
layer_railway_pl.968,1454.504304030949,5876.197388285034,509.07650641083217,20290.33504123174,9497.913105322097,2218.119063647197,376.71661474401577,18.908555952402338,17.454051648371387,38804.72032724169
layer_railway_pl.969,84.63054473878911,341.907400744708,29.62069065857619,1180.596099106108,552.6374571442929,129.0615807266534,21.91931108734638,1.1001970816042586,1.0155665368654694,2257.8583030861546
layer_railway_pl.970,45669.309540134,184504.0105421414,15984.2583390469,637086.8680848693,298220.59129707504,69645.69704870436,11828.351170894706,593.701024021742,548.031714481608,1218411.509221235
layer_railway_pl.971,1248.4895824074672,5043.897912926167,436.9713538426135,17416.429674584168,8152.6369731207615,1903.9466131713875,323.35880184353397,16.230364571297073,14.981874988889606,33308.45356904882
layer_railway_pl.972,6308.546309089272,25486.527088720657,2207.9912081812454,88004.22101179534,41194.80739835295,9620.53312136114,1633.9134940541214,82.01110201816053,75.70255570907125,168305.70698019268
layer_railway_pl.973,2307.5400010082335,9322.461604073264,807.6390003528817,32190.183014064856,15068.236206583764,3518.9985015375564,597.6528602611324,29.998020013107034,27.6904800120988,61562.859686898664
layer_railway_pl.991,3656.735662307404,14773.212075721913,1279.8574818075913,51011.462489188285,23878.483874867346,5576.521885018791,947.0945365376176,47.53756360999625,43.88082794768884,97558.05073469922
