id,length,Cement,Steel,Gravel,Sand,Lime,Fly ash,Copper,Aluminum,Total
8850,566.6630589275386,2289.3187580672557,198.33207062463853,7904.9496720391635,3700.3097747968272,864.1611648644963,146.7657322622325,7.366619766058002,6.7999567071304625,15118.003749127802
9098,582.8191100015383,2354.589204406215,203.9866885005384,8130.326584521459,3805.808788310045,888.7991427523459,150.95014949039842,7.576648430019998,6.99382932001846,15549.031035731039
9346,582.7868742026781,2354.4589717788194,203.97540597093732,8129.876895127359,3805.598288543488,888.749983159084,150.94180041849364,7.576229364634815,6.993442490432137,15548.171016853248
9594,582.7546450522248,2354.328766010988,203.96412576827868,8129.427298478536,3805.387832191028,888.7008337046427,150.9334530685262,7.575810385678922,6.993055740626697,15547.311175348304
9842,582.7224225519903,2354.198587110041,203.95284789319663,8128.977794600265,3805.1774192644966,888.6516943917853,150.92510744096552,7.575391493175874,6.992669070623884,15546.451511264551
10090,582.6902066889628,2354.0684350234096,203.94157234113698,8128.528383311032,3804.967049678927,888.6025652006683,150.91676353244137,7.574972686956516,6.992282480267553,15545.592024254838
10338,582.6579974734362,2353.9383097926825,203.9302991157027,8128.079064754435,3804.756723501539,888.5534461469903,150.90842134561998,7.574553967154671,6.991895969681234,15544.732714593805
10586,582.6257949016352,2353.808211402606,203.91902821557233,8127.629838877811,3804.546440707678,888.5043372249937,150.90008087952353,7.574135333721258,6.9915095388196224,15543.873582180726
10834,582.5935989595658,2353.678139796646,203.90775963584804,8127.180705485944,3804.336201205965,888.4552384133378,150.89174213052758,7.573716786474356,6.9911231875147894,15543.014626642256
11082,582.5614096724221,2353.548095076585,203.89649338534775,8126.7316649302875,3804.126005160916,888.4061497504437,150.88340510515732,7.573298325741487,6.990736916069065,15542.15584865055
11330,582.5292270094983,2353.418077118373,203.8852294533244,8126.282716782501,3803.915852372024,888.3570711894849,150.87506979546006,7.572879951123477,6.99035072411398,15541.297247386405
11578,582.4970509874559,2353.2880859893216,203.87396784560957,8125.8338612750085,3803.705742948087,888.3080027558702,150.86673620575107,7.5724616628369255,6.98996461184947,15540.438823294335
11826,582.4648816035768,2353.1581216784507,203.8627085612519,8125.385098369897,3803.4956768713564,888.2589444454546,150.8584043353264,7.572043460846499,6.989578579242922,15539.580576301827
12074,582.4327188410736,2353.028184117937,203.85145159437573,8124.936427832976,3803.2856540322105,888.2098962326371,150.85007417983806,7.571625344933956,6.989192626092883,15538.722505961001
12322,582.40056272514,2352.8982734095657,203.84019695379902,8124.487850015704,3803.0756745951644,888.1608581558386,150.84174574581127,7.571207315426821,6.988806752701681,15537.864612944011
12570,582.3684132277381,2352.768389440062,203.82894462970833,8124.039364526946,3802.8657383771297,888.1118301723005,150.83341902598414,7.570789371960594,6.988420958732857,15537.006896502824
12818,582.3362703647998,2352.638532273791,203.81769462767994,8123.5909715889575,3802.6558454821425,888.0628123063198,150.82509402448315,7.570371514742397,6.988035244377597,15536.149357062495
13066,582.304134130662,2352.5087018878744,203.80644694573166,8123.142671122734,3802.4459958732227,888.0138045492595,150.81677073984144,7.569953743698606,6.987649609567943,15535.29199447193
13314,582.2720045160627,2352.378898244893,203.79520158062195,8122.694462999075,3802.2361894898895,887.9648068869956,150.8084491696602,7.569536058708814,6.987264054192752,15534.434808484037
13562,582.2398815302893,2352.2491213823687,203.78395853560124,8122.246347347535,3802.026426392789,887.9158193336912,150.8001293163449,7.569118459893761,6.986878578363471,15533.577799346587
13810,582.2077651649603,2352.1193712664394,203.77271780773611,8121.798324051196,3801.816706527191,887.8668418765644,150.7918111777247,7.5687009471444835,6.986493181979524,15532.720966835976
14058,582.1756554238009,2351.9896479121553,203.76147939833032,8121.350393162023,3801.60702991742,887.8178745212964,150.78349475476443,7.568283520509412,6.986107865085611,15531.864311051584
14306,582.1435523040426,2351.859951308332,203.75024330641492,8120.902554641394,3801.397396545398,887.768917263665,150.77518004674704,7.567866179952554,6.985722627648511,15531.007831919553
14554,582.1114557972791,2351.7302814210075,203.73900952904768,8120.454808372043,3801.187806356232,887.7199700908506,150.76686705149527,7.567448925364628,6.985337469567348,15530.151529215607
14802,582.0793659128225,2351.6006382878027,203.72777806948787,8120.007154483874,3800.978259410731,887.6710330170544,150.75855577142104,7.567031756866692,6.984952390953869,15529.29540318819
15050,582.0472826441543,2351.471021882383,203.716548925454,8119.559592885952,3800.7687556663277,887.6221060323353,150.75024620483595,7.566614674374006,6.984567391729851,15528.439453663392
15298,582.0152059856871,2351.341432182176,203.7053220949905,8119.112123500335,3800.5592950865366,887.5731891281728,150.74193835029297,7.566197677813933,6.9841824718282455,15527.583680492146
15546,581.9831359430335,2351.211869209855,203.69409758006174,8118.664746405318,3800.349877708009,887.5242823131262,150.73363220924566,7.565780767259436,6.983797631316402,15526.728083824191
15794,581.9510725105557,2351.0823329426453,203.6828753786945,8118.217461522252,3800.140503493929,887.4753855785974,150.72532778023393,7.565363942637225,6.983412870126669,15525.872663509115
16042,581.9190156892354,2350.952823384511,203.67165549123237,8117.770268864834,3799.931172450707,887.4264989260839,150.71702506351198,7.56494720396006,6.983028188270824,15525.01741957311
16290,598.0112485752946,2415.96544424419,209.30393700135315,8342.25691762536,3905.013453196674,911.9671540773244,154.88491338100133,7.774146231478831,7.176134982903536,15954.342100740287
16538,594.9074387541963,2403.426052566953,208.21760356396868,8298.958770621037,3884.7455750649015,907.2338441001491,154.08102663733683,7.7337967038045505,7.138889265050356,15871.5355585232
