id,length,Cement,Steel,Gravel,Sand,Lime,Fly ash,Copper,Aluminum,Total
1132,354.34164663577354,1431.5402524085252,124.01957632252073,4943.0659705690405,2313.8509525316013,540.3710111195546,91.77448647866535,4.606441406265056,4.252099759629282,9453.480790595802
1464,543.7184848683756,2196.6226788682375,190.30146970393147,7584.872863913841,3550.481706190493,829.1706894242728,140.8230875809093,7.068340303288884,6.524621818420508,14505.865457803393
1796,543.5096904852005,2195.77914956021,190.22839166982018,7581.960182268547,3549.1182788683595,828.8522779899308,140.7690098356669,7.065625976307607,6.522116285822406,14500.295032454664
2128,544.0688287552488,2198.038068171205,190.42409006433707,7589.76016113572,3552.769451771774,829.7049638517543,140.91382664760943,7.072894773818234,6.5288259450629855,14515.21228236128
2460,543.8180366263824,2197.024867970585,190.33631281923383,7586.261610938035,3551.1317791702772,829.3225058552332,140.84887148623307,7.069634476142972,6.525816439516589,14508.521399155257
2792,543.4013779091024,2195.341566752774,190.19048226818586,7580.449221831979,3548.4109977464386,828.6871013113812,140.74095687845755,7.064217912818332,6.52081653490923,14497.405361236944
3124,543.9192272486158,2197.4336780844083,190.37172953701554,7587.673220118191,3551.7925539334615,829.4768215541392,140.8750798573915,7.070949954232006,6.527030726983391,14511.22106376582
3456,543.5585687840995,2195.976617887762,190.24549907443483,7582.642034538188,3549.43745416017,828.9268173957518,140.78166931508179,7.066261394193294,6.522702825409195,14501.599056590992
3788,543.4629310630548,2195.5902414947413,190.2120258720692,7581.307888329615,3548.812939841748,828.7809698711587,140.7568991453312,7.065018103819714,6.521555172756658,14499.04753783124
4120,420.2551148334629,1697.8306639271902,147.08929019171202,5862.5588519268085,2744.265899862513,640.889050121031,108.84607474186689,5.463316492835018,5.043061378001555,11211.986208641958
4121,123.17137598430465,497.61235897659077,43.10998159450663,1718.2406949810497,804.3090851775094,187.8363483760646,31.901386379934902,1.6012278877959605,1.4780565118116558,3286.0891398852636
4453,543.3751801783488,2195.2357279205294,190.1813130624221,7580.083763487966,3548.239926564618,828.6471497719821,140.73417166619237,7.063877342318535,6.520502162140186,14496.706431978168
4785,543.2961767659356,2194.9165541343796,190.15366186807745,7578.981665884801,3547.724034281559,828.5266695680516,140.7137097823773,7.062850297957162,6.519554121191226,14494.598699938395
5117,542.888088178468,2193.2678762410105,190.01083086246376,7573.288830089628,3545.059215805396,827.9043344721637,140.6080148382232,7.057545146320083,6.514657058141616,14483.711304513348
5449,542.9231809544987,2193.409651056175,190.02311333407454,7573.778374315257,3545.288371632876,827.9578509556105,140.61710386721518,7.058001352408483,6.515078171453984,14484.64754468507
5780,417.66857944572587,1687.3810609607324,146.18400280600406,5826.476683267875,2727.3758237805896,636.944583654732,108.17616207644299,5.429691532794436,5.012022953348711,11142.98003103252
5781,125.22076779348495,505.89190188567915,43.827268727719726,1746.829710719115,817.6916136914567,190.96167088506454,32.4321788585126,1.6278699813153041,1.5026492135218192,3340.764863962385
6112,542.9779447741555,2193.6308968875883,190.04228067095443,7574.54232959947,3545.6459793752356,828.0413657805872,140.63128769650626,7.058713282064022,6.5157353372898665,14486.108588629693
6444,542.8628830080992,2193.1660473527204,190.0020090528347,7572.937217962983,3544.8946260428875,827.8658965873512,140.60148669909768,7.057217479105288,6.514354596097189,14483.038855773077
6776,542.7771836068578,2192.8198217717054,189.97201426240022,7571.741711315665,3544.335008952781,827.7352050004581,140.57929055417614,7.05610338688915,6.513326203282293,14480.75248144736
7108,542.7530450880728,2192.7223021558143,189.9635657808255,7571.404978978617,3544.1773844251156,827.698393759311,140.57303867781084,7.055789586144947,6.513036541056874,14480.108489904695
7440,543.1334710186021,2194.2592229151523,190.09671485651072,7576.711920709499,3546.6615657514717,828.2785433033682,140.67156899381794,7.060735123241827,6.517601652223225,14490.257873305283
7772,543.3610816896359,2195.178770026129,190.17637859137255,7579.887089570419,3548.147863433322,828.6256495766947,140.73052015761567,7.063694061965266,6.520332980275631,14496.330298397794
8104,543.3371381668753,2195.0820381941767,190.16799835840638,7579.553077427911,3547.991512229696,828.589135704485,140.72431878522073,7.06338279616938,6.520045658002505,14495.691509154067
8436,543.3129573008791,2194.984347495552,190.15953505530769,7579.215754347264,3547.8336111747412,828.5522598838406,140.7180559409277,7.06306844491143,6.519755487610551,14495.046387830154
8768,543.2886468583636,2194.886133307789,190.15102640042724,7578.876623674172,3547.6748639851144,828.5151864590044,140.71175953631615,7.062752409158726,6.519463762300362,14494.39780953428
9100,543.1022300982252,2194.1330095968297,190.0857805343788,7576.276109870241,3546.4575625414104,828.2309008997934,140.66347759544033,7.0603289912769265,6.517226761178702,14489.42439679055
9432,542.8031679256095,2192.924798419462,189.98110877396334,7572.104192562252,3544.50468655423,827.7748310865545,140.58602049273287,7.0564411830329234,6.513638015107314,14481.445717087336
9764,542.5884966656331,2192.057526529158,189.9059738329716,7569.109528485582,3543.1028832265847,827.4474574150904,140.53042063639901,7.05365045665323,6.511061959987598,14475.718502542426
10096,542.4893850178828,2191.6571154722465,189.871284756259,7567.726920999465,3542.4556841667745,827.2963121522713,140.50475071963163,7.052362005232476,6.509872620214594,14473.074302892097
10428,542.4564298048721,2191.523976411683,189.85975043170524,7567.267195777966,3542.240486625815,827.2460554524299,140.4962153194619,7.0519335874633375,6.5094771576584645,14472.195090764184
10760,542.779347004694,2192.828561898964,189.9727714516429,7571.771890715481,3544.349135940652,827.7385041821584,140.57985087421574,7.0561315110610225,6.513352164056327,14480.810198738232
