id,building_id,height,proj_shape_area,inter_shape_area,inter_perimeter
45,637101,12,4716.115170727101,2925.5844047856885,214.60107172662228
148,637101,12,4716.115170727101,1790.5307659490054,195.03133604790438
45,637089,12,741.0047059497374,646.5716373441888,113.58973546706753
148,637089,12,741.0047059497374,94.43306860939119,47.085178200261815
46,637184,36,850.007261136486,850.007261136486,121.15783767480548
46,637188,36,390.8117296192152,390.8117296192152,79.55931515655722
47,637185,12,135.10227604375902,135.10227604375902,46.92127789423461
48,637271,36,86.91652975919109,86.91652975919109,53.70758169347053
147,637094,12,100.46445039611547,100.46445039611547,42.468484949463324
