gml_id,length,Cement,Steel,Gravel,Sand,Lime,Fly ash,Copper,Aluminum,Total
layer_railway_pl.6,170.96350068100023,690.6925427512409,59.83722523835008,2384.9408344999533,1116.3916594469315,260.71933853852534,44.27954667637906,2.222525508853003,2.0515620081720027,4561.135234668405
layer_railway_pl.21,160.07744500487127,646.7128778196799,56.027105751704944,2233.080357817954,1045.3057158818094,244.11810363242867,41.460058256261654,2.0810067850633263,1.9209293400584553,4270.706155284961
layer_railway_pl.25,1003.2366889431297,4053.076223330244,351.1328411300954,13995.151810756659,6551.135578798637,1529.9359506382727,259.8383024362706,13.042076956260686,12.038840267317557,26765.351624313756
layer_railway_pl.42,795.0620997125883,3212.050882838857,278.27173489940594,11091.116290990605,5191.755511123201,1212.469702061697,205.92108382556037,10.335807296263647,9.54074519655106,21211.461758232144
layer_railway_pl.43,843.8078736242991,3408.983809442168,295.3327557685047,11771.119837058972,5510.065414766673,1286.807007277056,218.54623926869345,10.969502357115887,10.12569448349159,22511.950260422676
layer_railway_pl.44,287.1766072497476,1160.19349328898,100.51181253741164,4006.1136711339786,1875.2632453408517,437.944326055865,74.37874127768461,3.7332958942467185,3.446119286996971,7661.584704816016
layer_railway_pl.45,170.31279028440176,688.0636727489831,59.60947659954061,2375.8634244674045,1112.1425205571436,259.72700518371266,44.11101268366006,2.2140662736972225,2.043753483412821,4543.774931997555
layer_railway_pl.46,289.0328032325113,1167.6925250593456,101.16148113137895,4032.0076050935327,1887.3842051082986,440.77502492957973,74.85949603722042,3.7574264420226466,3.4683936387901357,7711.106157440169
layer_railway_pl.47,722.7073475760732,2919.7376842073354,252.94757165162562,10081.76749868622,4719.278979671758,1102.1287050535116,187.18120302220294,9.395195518488952,8.672488170912878,19281.109325982055
layer_railway_pl.48,779.8013727576197,3150.3975459407834,272.9304804651669,10878.229149968794,5092.102964107256,1189.1970934553701,201.96855554422348,10.137417845849056,9.357616473091435,20804.320823800535
layer_railway_pl.49,752.03821991073,3038.2344084393494,263.2133769687555,10490.933167754683,4910.809576017067,1146.8582853638632,194.77789895687908,9.776496858839492,9.024458638928762,20063.627668998368
layer_railway_pl.50,796.6955639427292,3218.650078328626,278.8434473799552,11113.903117001073,5202.422032546022,1214.960735012662,206.34415106116685,10.35704233125548,9.560346767312751,21255.040950428072
layer_railway_pl.51,884.6951475867186,3574.168396250343,309.6433016553515,12341.497308834723,5777.0593137412725,1349.160100069746,229.1360432249601,11.501036918627342,10.616341771040624,23602.781842466065
layer_railway_pl.52,991.4894903345686,4005.6175409516572,347.021321617099,13831.278390167232,6474.426371884732,1512.021472760217,256.79577799665327,12.889363374349392,11.897873884014823,26451.948112635957
layer_railway_pl.53,855.2215478402366,3455.0950532745555,299.3275417440828,11930.3405923713,5584.596707396745,1304.2128604563607,221.50238089062128,11.117880121923076,10.262658574082838,22816.45567482967
layer_railway_pl.54,859.081053606673,3470.6874565709586,300.67836876233554,11984.180697813088,5609.799280051574,1310.0986067501763,222.5019928841283,11.16805369688675,10.308972643280077,22919.42342917243
layer_railway_pl.55,68.11561412090562,275.1870810484587,23.840464942316967,950.2128169866334,444.79496020951365,103.87631153438106,17.641944057314554,0.885502983571773,0.8173873694508674,1817.256469131641
layer_railway_pl.56,817.8817318898704,3304.2421968350764,286.2586061614546,11409.450159863693,5340.767709240854,1247.2696411320524,211.83136855947643,10.632462514568315,9.814580782678444,21820.266725089852
layer_railway_pl.57,744.2279198060899,3006.6807960166034,260.4797719321314,10381.979481294955,4859.808316333767,1134.9475777042871,192.75503122977727,9.674962957479169,8.93073503767308,19855.25667250667
layer_railway_pl.58,812.5432990093794,3282.6749279978926,284.39015465328276,11334.979021180843,5305.907742531247,1239.1285309893037,210.44871444342928,10.563062887121932,9.750519588112553,21677.842674271233
layer_railway_pl.59,209.68756803407337,847.1377748576565,73.39064881192569,2925.1415740753237,1369.259819262499,319.7735412519619,54.30908012082501,2.725938384442954,2.5162508164088804,5594.254627581043
layer_railway_pl.60,841.7853939091715,3400.812991393053,294.62488786821,11742.906245032942,5496.8586222268905,1283.7227257114866,218.02241702247542,10.943210120819229,10.101424726910057,22457.992524102785
layer_railway_pl.61,1113.1175040510698,4496.994716366322,389.5911264178744,15527.989181512423,7268.657301453485,1697.5041936778814,288.2974335492271,14.470527552663906,13.357410048612838,29696.86189057849
layer_railway_pl.62,1600.1828090218771,6464.738548448384,560.0639831576569,22322.550185855187,10449.193742912857,2440.278783758363,414.4473475366662,20.802376517284404,19.202193708262527,42691.27716189466
layer_railway_pl.63,1102.808989763651,4455.348318645149,385.98314641727785,15384.185407202931,7201.342703156641,1681.7837093895678,285.6275283487856,14.336516866927463,13.23370787716381,29421.841037904444
layer_railway_pl.64,2737.663076627114,11060.158829573542,958.1820768194899,38190.39991894824,17876.939890375055,4174.936191856349,709.0547368464225,35.589619996152486,32.85195691952537,73038.11322133479
layer_railway_pl.65,386.2611415944452,1560.4950120415585,135.19139955805582,5388.34292524251,2522.285254611727,589.0482409315289,100.0416356729613,5.021394840727788,4.635133699133342,10305.060996598202
layer_railway_pl.66,1061.4343261334604,4288.19467757918,371.50201414671113,14807.008849561773,6931.166149651497,1618.687347353527,274.9114904685662,13.798646239734985,12.737211913601524,28318.006386914592
layer_railway_pl.67,475.2291422348863,1919.9257346289407,166.3301997822102,6629.446534176664,3103.2462987938075,724.7244419082016,123.08434783883555,6.177978849053522,5.7027497068186355,12678.638285684532
