id,inter_length,Cement,Steel,Total
86556,295.71130638840225,5436.649410837712,33.71108892827786,5470.363456879053
86888,640.8177323660733,11781.427601372934,73.05322148973235,11854.48723103999
87220,440.6364744472619,8101.097176348166,50.23255808698785,8151.334140799898
87221,221.08698633902222,4064.6820329730604,25.203916442648534,4089.888160285572
87551,60.62370298011209,1114.5661730523311,6.911102139732779,1121.4778814290937
87552,717.8119033895761,13196.964665698324,81.83055698641166,13278.802400803766
87882,64.12439448588357,1178.9263513790247,7.310180971390727,1186.2371735943602
87883,714.2603501621859,13131.669395128287,81.42567991848918,13213.102217650277
88214,716.4708147370555,13172.30876423262,81.67767288002433,13253.993601820792
88545,505.85527396906383,9300.1441533685,57.66750123247328,9357.816713153712
88546,184.087134860044,3384.4401335305606,20.98593337404502,3405.427907775954
88877,461.9503818853633,8492.953151458585,52.662343534931416,8545.620114497335
88878,264.0843164187799,4855.1875165161055,30.10561207174091,4885.29576943101
89210,636.6318582286949,11704.470347215974,72.57603183807122,11777.052745372626
89211,90.57348040030902,1665.1925314248774,10.325376765635228,1675.5188139253166
89543,718.9948530821629,13218.713183967035,81.96541325136657,13300.68578716693
89875,147.94483075975066,2719.9642340697083,16.865710706611576,2736.8314242246274
89876,534.745589177073,9831.292309564598,60.960997166186324,9892.258654186673
90208,602.1514334985268,11070.548083356081,68.64526341883206,11139.199368289248
90209,80.49442621117609,1479.8892209482105,9.176364588074074,1489.0663904805465
90541,649.433448497814,11939.827456297826,74.03541312875079,12013.86936376106
90873,638.8946856166332,11746.072406114945,72.83399416029617,11818.912789222097
91205,526.6808108431268,9683.021440542778,60.04161243611645,9743.068319787004
91206,112.17219145577627,2062.2846181925324,12.787629825958495,2075.0733697404053
91538,638.8113277945755,11744.539873389993,72.82449136858162,11817.370752871853
91870,638.7696621112417,11743.773850218558,72.81974148068156,11816.59997939586
92202,629.313005107515,11569.913305771614,71.7416825822567,11641.66128148392
92534,624.201457975008,11475.937562855945,71.1589662091509,11547.102771079673
92866,624.1607630608953,11475.18938726693,71.15432698894206,11546.349955863501
93198,63.713000218563124,1171.3628718882808,7.263282024916196,1178.626791043199
93199,560.4070765395398,10303.078498108676,63.88640672550754,10366.970508904948
93531,624.090295359317,11473.893839278091,71.14629367096214,11545.046373852005
93846,181.71692992950926,3340.863939584729,20.715730011964055,3361.581486765992
93863,624.0733302323873,11473.58193558914,71.14435964649216,11544.732535968933
94178,211.60637231356438,3890.3810389211585,24.12312644374634,3914.506281428627
94179,478.672908050891,8800.396627786551,54.568711517801574,8854.970126033433
94195,624.0326674781884,11472.83435125982,71.13972409251349,11543.980315679006
94511,596.6475161100742,10969.358617208554,68.01781683654846,11037.382400520264
94512,93.58679429829661,1720.5922773062402,10.668894550005815,1731.262107724189
94527,623.970655244542,11471.694256964352,71.13265469787778,11542.833151368783
94844,683.1158704660304,12559.078447359267,77.87520923312746,12636.960487751097
94859,623.8521115481373,11469.514832291388,71.11914071648765,11540.640211528991
95176,428.8247281638304,7883.938339044741,48.88601901067667,7932.828646302698
95177,232.28085527004336,4270.481201331195,26.480017500784943,4296.963541640533
95191,645.5872628387881,11869.115371418491,73.59694796362184,11942.718775254742
95509,661.0625329703595,12153.62805803473,75.36112875862098,12228.99579741868
95516,33.91591577757889,623.5437724116301,3.866414398643993,627.4105259694319
95523,249.81009037347852,4592.756013415499,28.47835030257655,4621.236861818979
95524,444.5538380566546,8173.117867133215,50.679137538458626,8223.801450210054
95841,486.5845331439071,8945.8517760054,55.47063677840541,9001.327278629136
95842,174.43495846913373,3206.9849671054394,19.885585265481243,3226.872296720505
95848,625.4666204108735,11499.197561587705,71.30319472683958,11570.507010980748
95856,575.9789981467925,10589.3681211388,65.66160578873435,10655.035486717516
95857,132.93767922225408,2444.057903124349,15.154895431336964,2459.2141279324783
96174,714.9451155254029,13144.25879948338,81.50374316989593,13225.76969210443
96175,92.18671478154364,1694.8518293915322,10.509285485095976,1705.362036743776
96180,625.4259026418623,11498.448965811614,71.2985529011723,11569.753772971811
96189,733.7162248704548,13489.365457081063,83.64364963523185,13573.016443878543
96196,120.3954935124311,2213.4699442711108,13.725086260417145,2227.196234486463
96507,525.9620969464464,9669.807892739449,59.95967905189489,9729.772831412312
96508,415.710139210096,7642.8267522762235,47.39095586995094,7690.221865247565
96511,349.7166807924776,6429.537679202893,39.86770161034244,6469.408877980042
96512,1094.2650316891702,20118.051664955077,124.74621361256541,20242.808821217957
96513,469.10609175046085,8624.510805771306,53.47809445955254,8677.993591291775
96514,469.10609175428357,8624.510805841588,53.47809445998833,8677.99359136249
96515,466.11172778146255,8569.459454144911,53.13673696708673,8622.600852229274
96516,464.84611174364665,8546.191115945827,52.99245673877572,8599.18822114572
96517,464.84611174364665,8546.191115945827,52.99245673877572,8599.18822114572
96518,468.9544684487312,8621.723212885237,53.46080940315535,8675.188711833078
96519,469.79674364329094,8637.208433914468,53.55682877533517,8690.769960657239
96520,469.79674364711684,8637.208433984806,53.55682877577132,8690.769960728014
96521,479.48342235996563,8815.297925253744,54.66111014903608,8869.963830237004
96522,1078.4803744984472,19827.850900350204,122.94676269282297,19950.80844784677
96523,464.16020045253407,8533.580643717834,52.91426285158889,8586.499548171427
96524,464.16020045625675,8533.580643786276,52.91426285201327,8586.499548240292
96525,464.3303933283575,8536.70963803792,52.93366483943276,8589.647946181287
96526,464.7978497810489,8545.303820246087,52.98695487503958,8598.295423099624
96527,464.7978497773314,8545.303820177742,52.98695487461578,8598.295423030853
96528,357.1011485349279,6565.301044803165,40.709530932981785,6606.014146747632
