city,Cement(kg),Steel(kg),Timber(kg),Brick(kg),Gravel(kg),Sand(kg),Asphalt(kg),Lime(kg),Glass(kg),Ceramic(kg),Total MS(t),material_sum
yinchuan,232353160646.80136,17058030995.03633,6161702151.372088,116724579989.8181,157675412976.03162,127536097221.06465,622577379.070422,4525513988.013136,452720301.6404774,639597472.8865721,665239407.6221683,663749393121.7347
nanyang,31512714352.637203,2363994534.6317697,819769757.4524989,16786244603.099451,22783977039.04826,18182157554.19526,73265497.94901477,599850361.2449445,59089245.539741926,75009322.91661803,93137701.63180944,93256072268.71475
jinan,493100989878.705,35330502639.02399,14461826417.64035,257091400665.4125,328012308308.97974,270848675165.3312,1254608420.8045633,9635739282.959429,900832788.5265477,1296572831.8912702,1415273284.9147553,1411933456399.275
linyi,205309037759.2661,15463777749.82714,5097427520.846125,100284972480.56677,142274822395.67932,114540274010.29427,521397544.99161017,3994984933.3825316,387776046.63237923,542789904.5404043,590871916.01174,588417260346.0266
nanchang,219228915736.2613,16587759819.075068,5634870816.383373,113916324182.06776,164659138337.10156,130694379626.31407,525276955.6935557,4096062823.7166843,394186980.08614904,599929638.0097415,653616438.2475754,656336844914.7092
handan,105504214883.1925,7557690374.526749,2766132745.185019,51151295410.87846,71182629294.46863,57363184548.047646,280342151.27730656,2031726165.9393725,196397231.12381205,276862438.0039459,300130643.79373145,298310475242.6435
hefei,441182151739.16846,32721530404.349934,10875677258.813911,225285589204.74756,316061398854.92596,254039731057.98807,1036923305.6944162,8136389301.39362,776110041.7173401,1079562602.2075522,1294723885.2073948,1291195063771.0068
zhoukou,15320830737.310165,1175676847.3465297,401846430.09091383,8532189486.910154,11625235605.046705,9245394654.543823,34773457.684442185,286164469.8333537,26714066.180420987,38765620.55554184,46343780.800357364,46687591375.502045
shenzhen,821556987690.5723,70851737624.77365,11190734766.323952,370478632795.4379,753670615366.9867,577757905486.0123,1333071294.881552,13388250427.364357,1273810985.166858,1708896099.834716,2618995853.354548,2623210642537.354
lanzhou,163491196592.00537,12167652465.148207,4382626020.0351515,82315024434.62984,115257124184.0372,93340410779.75964,417218565.1994852,3117123024.8589745,303738777.9906214,423372826.8047987,476825634.9891732,475215487670.46924
taiyuan,297418362620.6268,21651937550.92141,8300524786.19608,153318958275.30453,202823034367.40063,166268161731.17307,718592681.1780969,5686294777.060805,524869348.67597425,764646705.7415539,859529124.0423554,857475382844.2789
tangshan,219841357665.72803,15829309739.381016,6315366284.285585,118000879773.97525,154177108129.99,124831682324.68155,553068550.3988591,4066079380.036793,442371981.10117245,677263192.9296907,647197081.4144062,644734487022.5079
guangzhou,752413918994.9996,63290374132.80389,15620425742.267557,408044781821.3881,688978552730.1217,524883235207.3932,1376394142.3541603,12886985158.799818,1281922517.2959669,2380427395.843308,2466608221.4467225,2471157017843.267
shijiazhuang,512995315992.221,38340728823.52769,12671477444.957973,270364340464.2519,383059332192.6863,304613480378.2728,1227312271.346561,9426540764.149914,972285766.0588933,1449825914.6140807,1534716625.3616815,1535120640012.087
wuhan,854450618688.922,63291691138.13911,22724828693.226166,439369237737.36993,609664332292.5508,493174494841.4429,2029430510.6499853,15993592582.045086,1540768130.4166079,2190770745.170072,2510201491.47216,2504429765359.932
kunming,372822186096.57697,28467063684.063744,8082763765.523128,175861941080.5383,286159953550.2891,225759202628.02127,836285260.7253605,6768026610.753529,645680553.8883609,951279254.3181303,1107282991.323367,1106354382484.698
xiamen,273939932054.77075,21787101083.16238,6050635495.70538,130268746954.85283,219946026386.78998,172192526420.86435,611783352.8413552,4926960091.848449,494884579.644235,770229210.9052582,831389146.8060498,830988825631.385
baoding,331241390632.87744,24625287515.383812,8591351667.322945,177403577837.48572,244390395800.55734,193434035961.51855,803231855.1690359,6048296048.161137,640770067.5164555,1008308060.2544035,991217202.7080389,988186645446.247
weifang,280789042570.5061,21106668849.20022,7634192569.172081,151947070256.36237,203890231294.90765,161472371905.6333,672385926.4580207,5265042573.594661,498124466.44579494,775298096.7034106,830485926.3077612,834050428508.9835
